CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,District,Neighborhood,Total Incidents
07/06/2019,01:30:00,5B,0 HILLSIDE RD,BURGLARY,NA,NORTHERN,ROLAND PARK,1
07/06/2019,09:00:00,7A,1600 APPLETON ST,AUTO THEFT,NA,WESTERN,EASTERWOOD,1
07/06/2019,07:03:00,6E,2500 EDGECOMBE CIR N,LARCENY,NA,NORTHERN,PARKLANE,1
07/06/2019,02:30:00,3AK,PL & N HIGHLAND AV,ROBBERY - STREET,KNIFE,SOUTHEAST,,1
07/06/2019,10:05:00,6C,700 WASHINGTON BLVD,LARCENY,NA,SOUTHERN,WASHINGTON VILLAGE,1
07/06/2019,19:00:00,4B,2100 32ND ST,AGG. ASSAULT,KNIFE,NORTHEAST,,1
07/06/2019,17:31:00,4C,3000 GLENMORE AVE,AGG. ASSAULT,OTHER,NORTHEAST,,1
07/06/2019,16:38:00,4C,3700 2ND ST,AGG. ASSAULT,OTHER,SOUTHERN,BROOKLYN,1
07/06/2019,15:21:00,4E,1700 RUSSELL ST,COMMON ASSAULT,NA,SOUTHERN,CARROLL - CAMDEN INDUSTRIAL AREA,1
07/06/2019,15:40:00,5A,3800 5TH ST,BURGLARY,NA,SOUTHERN,BROOKLYN,1
07/06/2019,02:17:00,3B,0 S CONKLING ST,ROBBERY - STREET,NA,SOUTHEAST,HUDSON-HIGHLANDTOWN,1
07/06/2019,08:15:00,5C,3800 W BELVEDERE AVE,BURGLARY,NA,NORTHWEST,ARLINGTON,1
07/06/2019,17:08:00,4E,5500 REISTERSTOWN RD,COMMON ASSAULT,NA,NORTHWEST,WOODMERE,1
07/06/2019,19:00:00,6E,2500 W COLD SPRING LN,LARCENY,NA,NORTHERN,GREENSPRING,1
07/06/2019,19:02:00,6J,NORTH AV & N GAY ST,LARCENY,NA,EASTERN,,1
07/06/2019,00:00:00,6E,1200 S CAREY ST,LARCENY,NA,SOUTHERN,WASHINGTON VILLAGE,1
07/06/2019,18:00:00,6J,1800 N CHARLES ST,LARCENY,NA,CENTRAL,CHARLES NORTH,1
07/06/2019,19:15:00,4E,AV & N CAROLINE ST,COMMON ASSAULT,NA,EASTERN,,1
07/06/2019,20:53:00,6C,700 WASHINGTON BLVD,LARCENY,NA,SOUTHERN,WASHINGTON VILLAGE,1
07/06/2019,19:15:00,6C,5600 THE ALAMEDA,LARCENY,NA,NORTHERN,GLEN OAKS,1
07/06/2019,19:00:00,5A,2400 LOYOLA NORTHWAY,BURGLARY,NA,NORTHERN,GREENSPRING,1
07/06/2019,20:55:00,3AK,3100 N CALVERT ST,ROBBERY - STREET,KNIFE,NORTHERN,CHARLES VILLAGE,1
07/06/2019,14:10:00,4E,200 N HOWARD ST,COMMON ASSAULT,NA,CENTRAL,DOWNTOWN,1
07/06/2019,11:00:00,3AF,800 W LEXINGTON ST,ROBBERY - STREET,FIREARM,WESTERN,POPPLETON,1
07/06/2019,11:31:00,5A,1600 BOLTON ST,BURGLARY,NA,CENTRAL,BOLTON HILL,1
07/06/2019,08:00:00,7A,0 E PLEASANT ST,AUTO THEFT,NA,CENTRAL,DOWNTOWN,1
07/06/2019,23:15:00,4E,2000 DEERING AVE,COMMON ASSAULT,NA,SOUTHWEST,,1
07/06/2019,02:17:00,4D,2600 WASHINGTON BLVD,AGG. ASSAULT,HANDS,SOUTHWEST,MORRELL PARK,1
07/06/2019,10:27:00,4A,2600 WASHINGTON BLVD,AGG. ASSAULT,FIREARM,SOUTHWEST,MORRELL PARK,1
07/06/2019,21:05:00,4D,1900 N FOREST PARK AVE,AGG. ASSAULT,HANDS,SOUTHWEST,FRANKLINTOWN,1
07/06/2019,21:05:00,4D,1900 N FOREST PARK AVE,AGG. ASSAULT,HANDS,SOUTHWEST,FRANKLINTOWN,1
07/06/2019,01:30:00,4B,2400 SAINT PAUL ST,AGG. ASSAULT,KNIFE,NORTHERN,CHARLES VILLAGE,1
07/06/2019,02:50:00,3AF,3600 FALLS RD,ROBBERY - STREET,FIREARM,NORTHERN,HAMPDEN,1
07/06/2019,03:15:00,3GF,3600 KESWICK RD,ROBBERY - COMMERCIAL,FIREARM,NORTHERN,WYMAN PARK,1
07/06/2019,00:40:00,4E,2500 EDGECOMBE CIR N,COMMON ASSAULT,NA,NORTHERN,PARKLANE,1
07/06/2019,10:42:00,4E,200 E BALTIMORE ST,COMMON ASSAULT,NA,CENTRAL,DOWNTOWN,1
07/06/2019,07:30:00,7A,0 W BALTIMORE ST,AUTO THEFT,NA,CENTRAL,DOWNTOWN,1
07/06/2019,18:00:00,4E,2100 W BALTIMORE ST,COMMON ASSAULT,NA,WESTERN,LANGSTON HUGHES,1
07/06/2019,18:15:00,4D,900 N MONROE ST,AGG. ASSAULT,HANDS,WESTERN,MIDTOWN EDMONDSON,1
07/06/2019,16:54:00,7A,1400 WHITELOCK ST,AUTO THEFT,NA,WESTERN,PENN NORTH,1
07/06/2019,13:15:00,6J,NORTH AV & PENNSYLVANIA AV,LARCENY,NA,WESTERN,,1
07/06/2019,00:40:00,4E,100 N MONASTERY AVE,COMMON ASSAULT,NA,SOUTHWEST,ALLENDALE,1
07/06/2019,13:33:00,6D,700 E PRATT ST,LARCENY FROM AUTO,NA,CENTRAL,INNER HARBOR,1
07/06/2019,02:00:00,7C,6000 AMBERWOOD RD,AUTO THEFT,NA,NORTHEAST,FRANKFORD,1
07/06/2019,07:43:00,7A,0 S EAST AVE,AUTO THEFT,NA,SOUTHEAST,BALTIMORE-LINWOOD,1
07/06/2019,12:00:00,7A,300 BLK S PATTERSON PARK AV,AUTO THEFT,NA,SOUTHEAST,,1
07/06/2019,20:30:00,4E,1600 WOODBOURNE AVE,COMMON ASSAULT,NA,NORTHEAST,,1
07/06/2019,17:08:00,4E,1300 W LOMBARD ST,COMMON ASSAULT,NA,SOUTHERN,UNION SQUARE,1
07/06/2019,01:00:00,4C,3000 S HANOVER ST,AGG. ASSAULT,OTHER,SOUTHERN,MIDDLE BRANCH/REEBIRD PARKS,1
07/06/2019,13:39:00,6G,1000 W 41ST ST,LARCENY,NA,NORTHERN,HOES HEIGHTS,1
07/06/2019,03:00:00,3AF,3700 FALLS RD,ROBBERY - STREET,FIREARM,NORTHERN,HAMPDEN,1
07/06/2019,13:00:00,3AF,3900 GREENWAY,ROBBERY - STREET,FIREARM,NORTHERN,GUILFORD,1
07/06/2019,02:00:00,4E,100 DENISON ST,COMMON ASSAULT,NA,SOUTHWEST,ALLENDALE,1
07/06/2019,09:24:00,4E,0 N KOSSUTH ST,COMMON ASSAULT,NA,SOUTHWEST,,1
07/06/2019,17:20:00,4E,100 N MONASTERY AVE,COMMON ASSAULT,NA,SOUTHWEST,ALLENDALE,1
07/06/2019,22:44:00,4E,2100 CHELSEA TER,COMMON ASSAULT,NA,SOUTHWEST,MOUNT HOLLY,1
07/06/2019,07:30:00,6G,0 W BALTIMORE ST,LARCENY,NA,CENTRAL,DOWNTOWN,1
07/06/2019,01:34:00,9S,800 N CAROLINE ST,SHOOTING,FIREARM,EASTERN,GAY STREET,1
07/06/2019,21:18:00,4C,GILMOR ST & W LOMBARD ST,AGG. ASSAULT,OTHER,SOUTHERN,,1
07/06/2019,17:57:00,6F,600 E PRATT ST,LARCENY,NA,CENTRAL,INNER HARBOR,1
07/06/2019,05:15:00,4E,1800 MORELAND AVE,COMMON ASSAULT,NA,WESTERN,COPPIN HEIGHTS/ASHBU,1
07/06/2019,01:30:00,3B,500 UMBRA ST,ROBBERY - STREET,NA,SOUTHEAST,GREEKTOWN,1
07/06/2019,20:24:16,9S,1200 MERIDENE DR,SHOOTING,FIREARM,NORTHEAST,IDLEWOOD,1
07/06/2019,00:40:00,4E,2500 EDGECOMBE CIR N,COMMON ASSAULT,NA,NORTHERN,PARKLANE,1
07/06/2019,12:50:00,6G,1300 W LOMBARD ST,LARCENY,NA,SOUTHERN,UNION SQUARE,1
07/06/2019,15:30:00,3AF,200 N LIBERTY ST,ROBBERY - STREET,FIREARM,CENTRAL,DOWNTOWN,1
07/06/2019,21:30:00,6C,3700 BOSTON ST,LARCENY,NA,SOUTHEAST,CANTON INDUSTRIAL AREA,1
07/06/2019,16:47:00,4E,500 YALE AVE,COMMON ASSAULT,NA,SOUTHWEST,YALE HEIGHTS,1
07/06/2019,19:13:00,4C,700 N EDGEWOOD ST,AGG. ASSAULT,OTHER,SOUTHWEST,EDMONDSON VILLAGE,1
07/06/2019,14:36:00,4E,2100 MOUNT HOLLY ST,COMMON ASSAULT,NA,SOUTHWEST,MOUNT HOLLY,1
07/06/2019,13:32:00,4B,1900 BRADDISH AVE,AGG. ASSAULT,KNIFE,WESTERN,MONDAWMIN,1
07/06/2019,06:00:00,4E,MULBERRY ST & N FULTON AV,COMMON ASSAULT,NA,WESTERN,,1
07/06/2019,01:50:00,5B,2700 REISTERSTOWN RD,BURGLARY,NA,NORTHWEST,LIBERTY SQUARE,1
07/05/2019,22:30:00,3BJ,100 VIOLET HILL WHITE WAY,ROBBERY - CARJACKING,NA,CENTRAL,POPPLETON,1
07/05/2019,19:30:00,6C,3300 BELAIR RD,LARCENY,NA,NORTHEAST,BELAIR-EDISON,1
07/05/2019,01:48:00,4C,0 N CONKLING ST,AGG. ASSAULT,OTHER,SOUTHEAST,BALTIMORE HIGHLANDS,1
07/05/2019,10:00:00,4E,4000 LIBERTY HEIGHTS AVE,COMMON ASSAULT,NA,NORTHWEST,CENTRAL FOREST PARK,1
07/05/2019,23:22:00,4A,3700 HILLSDALE RD,AGG. ASSAULT,FIREARM,NORTHWEST,,1
07/05/2019,12:03:00,6E,300 S PATTERSON PARK AVE,LARCENY,NA,SOUTHEAST,UPPER FELLS POINT,1
07/05/2019,01:30:00,3B,900 S LINWOOD AVE,ROBBERY - STREET,NA,SOUTHEAST,CANTON,1
07/05/2019,02:30:00,3AF,1900 E LOMBARD ST,ROBBERY - STREET,FIREARM,SOUTHEAST,UPPER FELLS POINT,1
07/05/2019,17:03:00,3B,NORTH AV & N PORT ST,ROBBERY - STREET,NA,EASTERN,,1
07/05/2019,19:00:00,7A,AV & BELAIR RD,AUTO THEFT,NA,NORTHEAST,,1
07/05/2019,21:00:00,6D,5000 E BIDDLE ST,LARCENY FROM AUTO,NA,NORTHEAST,ARMISTEAD GARDENS,1
07/05/2019,10:30:00,6E,100 S CLINTON ST,LARCENY,NA,SOUTHEAST,BALTIMORE-LINWOOD,1
07/05/2019,08:48:00,3GF,3300 E BALTIMORE ST,ROBBERY - COMMERCIAL,FIREARM,SOUTHEAST,BALTIMORE-LINWOOD,1
07/05/2019,15:26:00,3AF,500 OLD ORCHARD RD,ROBBERY - STREET,FIREARM,SOUTHWEST,TEN HILLS,1
07/05/2019,14:35:00,5A,300 S CATHERINE ST,BURGLARY,NA,SOUTHWEST,SHIPLEY HILL,1
07/05/2019,03:50:00,7A,700 YALE AVE,AUTO THEFT,NA,SOUTHWEST,YALE HEIGHTS,1
07/05/2019,04:00:00,4B,5600 HADDON AVE,AGG. ASSAULT,KNIFE,NORTHWEST,,1
07/05/2019,07:00:00,4C,3600 WOODLAND AVE,AGG. ASSAULT,OTHER,NORTHWEST,LUCILLE PARK,1
07/05/2019,07:11:00,4C,4800 BEAUFORT AVE,AGG. ASSAULT,OTHER,NORTHWEST,CENTRAL PARK HEIGHTS,1
07/05/2019,00:32:00,4B,300 ALLENDALE ST,AGG. ASSAULT,KNIFE,SOUTHWEST,ALLENDALE,1
07/05/2019,14:08:00,6G,0 N CHARLES ST,LARCENY,NA,CENTRAL,DOWNTOWN,1
07/05/2019,21:30:00,4E,3500 W BELVEDERE AVE,COMMON ASSAULT,NA,NORTHWEST,CENTRAL PARK HEIGHTS,1
07/05/2019,20:45:00,5A,0 BOULDER LN,BURGLARY,NA,NORTHERN,ROLAND PARK,1
07/05/2019,07:33:00,6J,2200 EAGLE ST,LARCENY,NA,SOUTHWEST,,1
07/05/2019,10:15:00,4E,2200 ROSLYN AVE,COMMON ASSAULT,NA,SOUTHWEST,MOUNT HOLLY,1
07/05/2019,01:48:00,4E,500 MOUNT HOLLY ST,COMMON ASSAULT,NA,SOUTHWEST,ALLENDALE,1
07/05/2019,01:48:00,4C,500 MOUNT HOLLY ST,AGG. ASSAULT,OTHER,SOUTHWEST,ALLENDALE,1
07/05/2019,23:30:00,7A,3500 WILKENS AVE,AUTO THEFT,NA,SOUTHWEST,SAINT AGNES,1
07/05/2019,16:00:00,5A,1900 CHELSEA RD,BURGLARY,NA,SOUTHWEST,FAIRMOUNT,1
07/05/2019,07:30:00,5C,2800 N LOUDON AVE,BURGLARY,NA,NORTHWEST,WINDSOR HILLS,1
07/05/2019,20:28:00,6J,2800 EDMONDSON AVE,LARCENY,NA,WESTERN,MOSHER,1
07/05/2019,03:45:00,4E,2000 N SMALLWOOD ST,COMMON ASSAULT,NA,WESTERN,MONDAWMIN,1
07/05/2019,19:15:00,6J,MONROE ST & W LANVALE ST,LARCENY,NA,WESTERN,,1
07/05/2019,20:04:00,4E,1400 W BALTIMORE ST,COMMON ASSAULT,NA,WESTERN,FRANKLIN SQUARE,1
07/05/2019,18:08:00,3AO,600 N EUTAW ST,ROBBERY - STREET,OTHER,CENTRAL,SETON HILL,1
07/05/2019,17:11:00,4A,1000 PENNSYLVANIA AVE,AGG. ASSAULT,FIREARM,CENTRAL,UPTON,1
07/05/2019,22:00:00,6E,2200 HENNEMAN AVE,LARCENY,NA,EASTERN,MIDDLE EAST,1
07/05/2019,22:00:00,6D,500 W LAFAYETTE AVE,LARCENY FROM AUTO,NA,CENTRAL,UPTON,1
07/05/2019,23:55:00,3B,200 W MULBERRY ST,ROBBERY - STREET,NA,CENTRAL,DOWNTOWN,1
07/05/2019,20:00:00,5A,3800 MENLO DR,BURGLARY,NA,NORTHWEST,GLEN,1
07/05/2019,18:56:00,3AF,2800 OSWEGO AVE,ROBBERY - STREET,FIREARM,NORTHWEST,TOWANDA-GRANTLEY,1
07/05/2019,18:00:00,6J,900 DRUID PARK LAKE DR,LARCENY,NA,NORTHERN,DRUID HILL PARK ASSO,1
07/05/2019,20:00:00,6D,4900 GUNTHER AVE,LARCENY FROM AUTO,NA,NORTHEAST,FRANKFORD,1
07/05/2019,18:00:00,6E,4000 MAPLE SHADE DR,LARCENY,NA,NORTHEAST,CLAREMONT-FREEDOM,1
07/05/2019,12:00:00,6C,6500 REISTERSTOWN RD,LARCENY,NA,NORTHWEST,REISTERSTOWN STATION,1
07/05/2019,13:00:00,4E,3800 BOARMAN AVE,COMMON ASSAULT,NA,NORTHWEST,CALLAWAY-GARRISON,1
07/05/2019,21:30:00,6E,5800 EDGEPARK RD,LARCENY,NA,NORTHEAST,LOCH RAVEN,1
07/05/2019,20:30:00,7A,4600 ASBURY AVE,AUTO THEFT,NA,NORTHEAST,FRANKFORD,1
07/05/2019,13:43:00,6C,1600 PENNSYLVANIA AVE,LARCENY,NA,CENTRAL,UPTON,1
07/05/2019,15:31:00,6C,1600 PENNSYLVANIA AVE,LARCENY,NA,CENTRAL,UPTON,1
07/05/2019,21:45:00,4E,500 DOLPHIN ST,COMMON ASSAULT,NA,CENTRAL,UPTON,1
07/05/2019,22:07:00,3AF,CALVERT ST & E LANVALE ST,ROBBERY - STREET,FIREARM,CENTRAL,,1
07/05/2019,23:00:00,5A,500 N HIGHLAND AVE,BURGLARY,NA,SOUTHEAST,,1
07/05/2019,19:00:00,7A,1700 E NORTHERN PKWY,AUTO THEFT,NA,NORTHEAST,LOCH RAVEN,1
07/05/2019,19:40:00,3AF,AV & E NORTH AV,ROBBERY - STREET,FIREARM,EASTERN,,1
07/05/2019,01:48:00,4C,0 N CONKLING ST,AGG. ASSAULT,OTHER,SOUTHEAST,BALTIMORE HIGHLANDS,1
07/05/2019,01:48:00,4C,0 N CONKLING ST,AGG. ASSAULT,OTHER,SOUTHEAST,BALTIMORE HIGHLANDS,1
07/05/2019,01:30:00,6E,ST & W LAFAYETTE AV,LARCENY,NA,CENTRAL,,1
07/05/2019,21:03:00,4E,5400 PRICE AVE,COMMON ASSAULT,NA,NORTHWEST,WOODMERE,1
07/05/2019,22:06:00,4D,800 E JEFFREY ST,AGG. ASSAULT,HANDS,SOUTHERN,BROOKLYN,1
07/05/2019,17:11:00,9S,1000 PENNSYLVANIA AV,SHOOTING,FIREARM,CENTRAL,UPTON,1
07/05/2019,23:22:00,9S,3700 HILLSDALE RD,SHOOTING,FIREARM,NORTHWEST,,1
07/05/2019,23:10:39,1A,2100 W LEXINGTON ST,HOMICIDE,FIREARM,WESTERN,,1
07/05/2019,00:01:00,6D,4100 RAYMONN AVE,LARCENY FROM AUTO,NA,NORTHEAST,BELAIR-EDISON,1
07/05/2019,05:09:00,4A,2200 AIKEN ST,AGG. ASSAULT,FIREARM,EASTERN,EAST BALTIMORE MIDWA,1
07/05/2019,08:30:00,6C,1000 S CHARLES ST,LARCENY,NA,SOUTHERN,FEDERAL HILL/MONTGOM,1
07/05/2019,02:13:00,6J,100 E PATAPSCO AVE,LARCENY,NA,SOUTHERN,BROOKLYN,1
07/05/2019,16:30:00,4E,PRATT ST & S CAREY ST,COMMON ASSAULT,NA,SOUTHERN,,1
07/05/2019,07:45:00,4E,1700 S CHARLES ST,COMMON ASSAULT,NA,SOUTHERN,,1
07/05/2019,00:31:00,4E,1500 HENRY ST,COMMON ASSAULT,NA,SOUTHERN,RIVERSIDE,1
07/05/2019,01:50:00,4D,600 E FORT AVE,AGG. ASSAULT,HANDS,SOUTHERN,RIVERSIDE,1
07/05/2019,13:11:00,4E,1100 HOMEWOOD AVE,COMMON ASSAULT,NA,EASTERN,JOHNSTON SQUARE,1
07/05/2019,13:11:00,4E,1100 HOMEWOOD AVE,COMMON ASSAULT,NA,EASTERN,JOHNSTON SQUARE,1
07/05/2019,06:30:00,4E,800 N LUZERNE AVE,COMMON ASSAULT,NA,EASTERN,MILTON-MONTFORD,1
07/05/2019,15:25:00,4E,1900 SHERWOOD AVE,COMMON ASSAULT,NA,EASTERN,EAST BALTIMORE MIDWA,1
07/05/2019,02:10:00,4E,3000 S HANOVER ST,COMMON ASSAULT,NA,SOUTHERN,MIDDLE BRANCH/REEBIRD PARKS,1
07/05/2019,22:00:00,4E,1800 N WOLFE ST,COMMON ASSAULT,NA,EASTERN,BROADWAY EAST,1
07/05/2019,01:22:00,4E,,COMMON ASSAULT,NA,EASTERN,,1
07/05/2019,15:26:00,3AF,500 OLD ORCHARD RD,ROBBERY - STREET,FIREARM,SOUTHWEST,TEN HILLS,1
07/05/2019,02:30:00,3AF,1900 E LOMBARD ST,ROBBERY - STREET,FIREARM,SOUTHEAST,UPPER FELLS POINT,1
07/05/2019,03:45:00,4E,2000 N SMALLWOOD ST,COMMON ASSAULT,NA,WESTERN,MONDAWMIN,1
07/05/2019,19:23:00,6J,400 W LEXINGTON ST,LARCENY,NA,CENTRAL,DOWNTOWN,1
07/05/2019,15:45:00,3D,3800 W FOREST PARK AVE,ROBBERY - COMMERCIAL,NA,NORTHWEST,CONCERNED CITIZENS O,1
07/05/2019,17:11:00,4A,1000 PENNSYLVANIA AVE,AGG. ASSAULT,FIREARM,CENTRAL,UPTON,1
07/05/2019,17:11:00,9S,1000 PENNSYLVANIA AV,SHOOTING,FIREARM,CENTRAL,UPTON,1
07/05/2019,23:00:00,4E,2500 E MONUMENT ST,COMMON ASSAULT,NA,EASTERN,MILTON-MONTFORD,1
07/05/2019,01:13:00,4E,CHARLES ST & E READ ST,COMMON ASSAULT,NA,CENTRAL,,1
07/05/2019,21:00:00,6D,BALTIMORE ST & AISQUITH ST,LARCENY FROM AUTO,NA,SOUTHEAST,,1
07/05/2019,15:45:00,6D,700 E BELVEDERE AVE,LARCENY FROM AUTO,NA,NORTHERN,CHINQUAPIN PARK/BELV,1
07/05/2019,14:00:00,4A,4200 SAINT GEORGES AVE,AGG. ASSAULT,FIREARM,NORTHERN,PEN LUCY,1
07/05/2019,19:00:00,6D,200 WOODLAWN RD,LARCENY FROM AUTO,NA,NORTHERN,ROLAND PARK,1
07/05/2019,06:20:00,7C,3700 PASCAL AVE,AUTO THEFT,NA,SOUTHERN,CURTIS BAY,1
07/05/2019,23:37:00,7A,1100 HARFORD AVE,AUTO THEFT,NA,EASTERN,JOHNSTON SQUARE,1
07/05/2019,21:13:00,4E,1600 N BROADWAY,COMMON ASSAULT,NA,EASTERN,BROADWAY EAST,1
07/05/2019,16:19:00,6F,2200 HARFORD RD,LARCENY,NA,EASTERN,EAST BALTIMORE MIDWA,1
07/05/2019,07:00:00,6J,500 FALLSWAY,LARCENY,NA,EASTERN,PEN-FALLSWAY,1
07/05/2019,11:00:00,5A,600 E 34TH ST,BURGLARY,NA,NORTHERN,WAVERLY,1
07/05/2019,21:45:00,3AF,3700 GREENMOUNT AVE,ROBBERY - STREET,FIREARM,NORTHERN,WAVERLY,1
07/05/2019,08:30:00,5A,900 BELGIAN AVE,BURGLARY,NA,NORTHERN,PEN LUCY,1
07/05/2019,02:22:00,4C,800 LENTON AVE,AGG. ASSAULT,OTHER,NORTHERN,CHINQUAPIN PARK/BELV,1
07/05/2019,17:00:00,6J,3900 BROOKLYN AVE,LARCENY,NA,SOUTHERN,BROOKLYN,1
07/05/2019,14:00:00,6D,500 DUNDALK AVE,LARCENY FROM AUTO,NA,SOUTHEAST,GWYNNS FALLS/LEAKIN PARK,1
07/05/2019,19:00:00,4E,4900 YORK RD,COMMON ASSAULT,NA,NORTHERN,WINSTON-GOVANS,1
07/05/2019,12:40:00,6E,2000 MOUNT ROYAL TER,LARCENY,NA,CENTRAL,RESERVOIR HILL,1
07/05/2019,03:00:00,6D,300 LYNDHURST ST,LARCENY FROM AUTO,NA,SOUTHWEST,PENROSE/FAYETTE ST OUTREACH,1
07/05/2019,09:00:00,6D,1700 BOLTON ST,LARCENY FROM AUTO,NA,CENTRAL,BOLTON HILL,1
07/05/2019,07:00:00,6D,1000 DESOTO RD,LARCENY FROM AUTO,NA,SOUTHWEST,MORRELL PARK,1
07/05/2019,18:00:00,5B,4700 FALLS RD,BURGLARY,NA,NORTHERN,CROSS KEYS,1
07/05/2019,15:45:00,4E,3800 W FOREST PARK AVE,COMMON ASSAULT,NA,NORTHWEST,CONCERNED CITIZENS O,1
07/05/2019,15:45:00,4E,3800 W FOREST PARK AVE,COMMON ASSAULT,NA,NORTHWEST,CONCERNED CITIZENS O,1
07/05/2019,15:45:00,4E,3800 W FOREST PARK AVE,COMMON ASSAULT,NA,NORTHWEST,CONCERNED CITIZENS O,1
07/05/2019,21:03:00,6G,5400 PRICE AVE,LARCENY,NA,NORTHWEST,WOODMERE,1
07/05/2019,01:40:00,5A,0 N CHARLES ST,BURGLARY,NA,CENTRAL,DOWNTOWN,1
07/05/2019,06:05:00,4E,2500 AISQUITH ST,COMMON ASSAULT,NA,NORTHEAST,COLDSTREAM HOMESTEAD,1
07/05/2019,06:05:00,4E,2500 AISQUITH ST,COMMON ASSAULT,NA,NORTHEAST,COLDSTREAM HOMESTEAD,1
07/05/2019,14:20:00,4E,LN & KENTUCKY AV,COMMON ASSAULT,NA,NORTHEAST,,1
07/05/2019,18:17:00,4C,5000 GOODNOW RD,AGG. ASSAULT,OTHER,NORTHEAST,FRANKFORD,1
07/05/2019,03:53:00,4C,4400 BELAIR RD,AGG. ASSAULT,OTHER,NORTHEAST,BELAIR-EDISON,1
07/05/2019,13:18:00,5A,2900 SOUTHLAND AVE,BURGLARY,NA,SOUTHERN,CHERRY HILL,1
07/05/2019,07:30:00,3B,500 E PRESTON ST,ROBBERY - STREET,NA,EASTERN,JOHNSTON SQUARE,1
07/05/2019,22:07:00,3AF,CALVERT ST & E LANVALE ST,ROBBERY - STREET,FIREARM,CENTRAL,,1
07/05/2019,22:07:00,3AF,CALVERT ST & E LANVALE ST,ROBBERY - STREET,FIREARM,CENTRAL,,1
07/04/2019,16:15:00,4C,ST & S CAREY ST,AGG. ASSAULT,OTHER,SOUTHERN,,1
07/04/2019,21:19:00,4E,2800 ELLICOTT DY,COMMON ASSAULT,NA,SOUTHWEST,,1
07/04/2019,16:34:00,4E,600 ALDERSHOT RD,COMMON ASSAULT,NA,SOUTHWEST,,1
07/04/2019,15:51:00,4A,2900 MOSHER ST,AGG. ASSAULT,FIREARM,SOUTHWEST,FRANKLINTOWN ROAD,1
07/04/2019,15:51:00,4A,2900 MOSHER ST,AGG. ASSAULT,FIREARM,SOUTHWEST,FRANKLINTOWN ROAD,1
07/04/2019,10:54:00,4E,EAGER ST & HILLMAN ST,COMMON ASSAULT,NA,EASTERN,,1
07/04/2019,00:48:00,3CF,1500 N PULASKI ST,ROBBERY - COMMERCIAL,FIREARM,WESTERN,EASTERWOOD,1
07/04/2019,00:18:00,4E,1800 SPENCE ST,COMMON ASSAULT,NA,SOUTHWEST,MORRELL PARK,1
07/04/2019,10:30:00,4C,1500 FLEET ST,AGG. ASSAULT,OTHER,SOUTHEAST,FELLS POINT,1
07/04/2019,19:00:00,6J,4100 BOARMAN AVE,LARCENY,NA,NORTHWEST,DORCHESTER/GRAN-BARR,1
07/04/2019,20:30:00,4A,5500 BOWLEYS LN,AGG. ASSAULT,FIREARM,NORTHEAST,FRANKFORD,1
07/04/2019,20:30:00,4A,5500 BOWLEYS LN,AGG. ASSAULT,FIREARM,NORTHEAST,FRANKFORD,1
07/04/2019,13:00:00,6G,100 N MILTON AVE,LARCENY,NA,SOUTHEAST,PATTERSON PLACE,1
07/04/2019,14:04:00,4E,2100 N SMALLWOOD ST,COMMON ASSAULT,NA,WESTERN,MONDAWMIN,1
07/04/2019,15:00:00,7A,300 E BIDDLE ST,AUTO THEFT,NA,EASTERN,MID-TOWN BELVEDERE,1
07/04/2019,23:23:00,4E,3500 RICHMOND AVE,COMMON ASSAULT,NA,NORTHEAST,BELAIR-EDISON,1
07/04/2019,19:00:00,7A,1500 RUTLAND AVE,AUTO THEFT,NA,EASTERN,BROADWAY EAST,1
07/04/2019,19:30:00,6C,4200 FRANKFORD AVE,LARCENY,NA,NORTHEAST,FRANKFORD,1
07/04/2019,22:04:00,4E,1100 TIFFANY CT,COMMON ASSAULT,NA,CENTRAL,UPTON,1
07/04/2019,21:35:00,4E,300 LIGHT ST,COMMON ASSAULT,NA,CENTRAL,INNER HARBOR,1
07/04/2019,20:40:00,4E,600 MOSHER ST,COMMON ASSAULT,NA,CENTRAL,UPTON,1
07/04/2019,20:30:00,4C,100 MERCER ST,AGG. ASSAULT,OTHER,CENTRAL,DOWNTOWN,1
07/04/2019,18:45:00,4E,1300 PENNSYLVANIA AVE,COMMON ASSAULT,NA,CENTRAL,UPTON,1
07/04/2019,10:30:00,4E,2200 B2 ROUND RD,COMMON ASSAULT,NA,SOUTHERN,CHERRY HILL,1
07/04/2019,22:25:00,4C,700 CHERRY HILL RD,AGG. ASSAULT,OTHER,SOUTHERN,CHERRY HILL,1
07/04/2019,17:00:00,4E,4200 AUDREY AVE,COMMON ASSAULT,NA,SOUTHERN,BROOKLYN,1
07/04/2019,21:25:00,4B,1800 W PRATT ST,AGG. ASSAULT,KNIFE,SOUTHERN,CARROLLTON RIDGE,1
07/04/2019,20:30:00,7A,600 BRISBANE RD,AUTO THEFT,NA,SOUTHWEST,BEECHFIELD,1
07/04/2019,16:40:00,3CF,5100 LIBERTY HEIGHTS AVE,ROBBERY - COMMERCIAL,FIREARM,NORTHWEST,HOWARD PARK,1
07/04/2019,10:00:00,6E,1800 BOLTON ST,LARCENY,NA,CENTRAL,BOLTON HILL,1
07/04/2019,17:15:00,4D,6700 REISTERSTOWN RD,AGG. ASSAULT,HANDS,NORTHWEST,REISTERSTOWN STATION,1
07/04/2019,11:22:00,4E,600 CHERRYCREST RD,COMMON ASSAULT,NA,SOUTHERN,CHERRY HILL,1
