,cameraLocation,cameraNumber,cameraProject,Location 1,latitude,longitude,neighborhood
29,Cathedral St and W Franklin St,30,Downtown,"(39.295048000000001, -76.616872000000001)",39.295048,-76.616872,WestFranklinStreet
30,Park Ave and W Franklin St,31,Downtown,"(39.295011000000002, -76.618324000000001)",39.295011,-76.618324,MountVernon
31,Park Ave and W Mulberry St,32,Downtown,"(39.294016999999997, -76.618223999999998)",39.294017,-76.618224,Baltimore
32,Park Ave and W Saratoga St,33,Downtown,"(39.292954000000002, -76.618157999999994)",39.292954,-76.618158,MountVernon
33,N Howard St and W Saratoga St,34,Downtown,"(39.292895999999999, -76.619658999999999)",39.292896,-76.619659,SetonHill
34,N Howard St and W Mulberry St,35,Downtown,"(39.293987000000001, -76.619772999999995)",39.293987,-76.619773,SetonHill
35,N Howard St and W Franklin St,36,Downtown,"(39.295446379148409, -76.620445568838903)",39.29544637914841,-76.6204455688389,SetonHill
36,N Howard St and W Centre St,37,Downtown,"(39.296208999999998, -76.619917000000001)",39.296209,-76.619917,SetonHill
37,N Eutaw St and George St,38,Downtown,"(39.295789999999997, -76.621317000000005)",39.29579,-76.621317,NorthEutawStreet
38,S Paca St and W Baltimore St,39,Downtown,"(39.289278000000003, -76.622330000000005)",39.289278,-76.62233,WestBaltimoreStreet
39,N Eutaw St and W Saratoga,40,Downtown,"(39.292830000000002, -76.621144999999999)",39.29283,-76.621145,WestSaratogaStreet
40,N Paca St and W Saratoga St,41,Downtown,"(39.292822000000001, -76.622539000000003)",39.292822,-76.622539,SetonHill
41,N Paca St and W Mulberry St,42,Downtown,"(39.293837000000003, -76.622570999999994)",39.293837,-76.622571,SetonHill
42,N Paca St and W Lexington St,43,Downtown,"(39.291428000000003, -76.622440999999995)",39.291428,-76.622441,WestLexingtonStreet
43,N Greene St and W Franklin St,44,Downtown,"(39.294792000000001, -76.623951000000005)",39.294792,-76.623951,SetonHill
44,N Greene St and W Saratoga St,45,Downtown,"(39.292839999999998, -76.623895000000005)",39.29284,-76.623895,SetonHill
45,N Eutaw St and W Franklin St,46,Downtown,"(39.294890000000002, -76.621260000000007)",39.29489,-76.62126,SetonHill
46,N Eutaw St and Druid Hill Ave,47,Downtown,"(39.296695865155179, -76.621270179748535)",39.29669586515518,-76.62127017974854,SetonHill
47,N Eutaw St and W Mulberry St,48,Downtown,"(39.293914999999998, -76.621199000000004)",39.293915,-76.621199,SetonHill
48,N Paca St and George St,49,Downtown,"(39.295791999999999, -76.622656000000006)",39.295792,-76.622656,SetonHill
49,Cathedral St and W Centre St,50,Downtown,"(39.296299405500001, -76.616957187699995)",39.2962994055,-76.6169571877,MountVernon
50,Center Plaza and ,51,Downtown,"(39.291321673796268, -76.616474390029907)",39.29132167379627,-76.61647439002991,CharlesCenter
51,Hopkins Plaza and ,52,Downtown,"(39.288789080651917, -76.616270542144775)",39.28878908065192,-76.61627054214478,InnerHarbor
52,Charles and Baltimore,53,Downtown,"(39.289526000000002, -76.615144000000001)",39.289526,-76.615144,EastBaltimoreStreet
53,S Charles St and E Lombard St,54,Downtown,"(39.287744000000004, -76.614863)",39.287744,-76.614863,InnerHarbor
54,Saint Paul St and E Lexington St,55,Downtown,"(39.291170000000001, -76.613975999999994)",39.29117,-76.613976,InnerHarbor
55,Light St and E Redwood St,56,Downtown,"(39.288820219599998, -76.613717079200001)",39.2888202196,-76.6137170792,InnerHarbor
56,N Calvert St and E Fayette St,57,Downtown,"(39.290387000000003, -76.612448000000001)",39.290387,-76.612448,InnerHarbor
57,S Calvert St and E Redwood St,58,Downtown,"(39.288933, -76.612025000000003)",39.288933,-76.612025,InnerHarbor
58,S Calvert St and E Lombard St,59,Downtown,"(39.287824999999998, -76.612134999999995)",39.287825,-76.612135,SouthCalvertStreet
